Precinct Name,PRCT,TOTVOTING,USPRSR,USPRSDFL,USPRSGP,Year,VTDID (not),VTDID
EXCELSIOR P-01,965,1355,553,762,2,2008,270270965,
FORT SNELLING P-01,975,74,19,54,0,2008,270270975,
GOLDEN VALLEY P-01,985,1662,513,1119,0,2008,270270985,
GOLDEN VALLEY P-02,990,2067,645,1386,1,2008,270270990,
GOLDEN VALLEY P-03,1000,1717,421,1277,1,2008,270271000,
GOLDEN VALLEY P-04,1005,1659,653,974,5,2008,270271005,
GOLDEN VALLEY P-05,1010,1331,367,945,0,2008,270271010,
GOLDEN VALLEY P-06,1015,1883,684,1148,5,2008,270271015,
GOLDEN VALLEY P-07,1020,1880,684,1167,6,2008,270271020,
GOLDEN VALLEY P-08,1025,1811,597,1189,2,2008,270271025,
GREENFIELD P-01,1050,1686,1127,537,3,2008,270271050,
GREENWOOD P-01,1065,555,305,245,0,2008,270271065,
HANOVER P-01,1080,351,224,117,1,2008,270271080,
HASSAN TWP P-01,1100,1625,1058,535,2,2008,270271100,
HOPKINS P-01,1110,1263,414,817,4,2008,270271110,
HOPKINS P-02,1115,1771,544,1191,1,2008,270271115,
HOPKINS P-03,1120,1397,492,867,2,2008,270271120,
HOPKINS P-04,1125,1229,345,848,3,2008,270271125,
HOPKINS P-05,1130,1421,440,962,2,2008,270271130,
HOPKINS P-06,1135,1754,613,1090,3,2008,270271135,
INDEPENDENCE P-01,1150,2320,1463,813,4,2008,270271150,
LONG LAKE P-01,1160,1060,510,531,2,2008,270271160,
LORETTO P-01,1170,415,259,145,1,2008,270271170,
MAPLE GROVE P-01,1190,1454,689,717,3,2008,270271190,
MAPLE GROVE P-02,1195,1461,758,684,0,2008,270271195,
MAPLE GROVE P-03,1200,1537,755,752,3,2008,270271200,
MAPLE GROVE P-04,1205,1105,577,503,2,2008,270271205,
MAPLE GROVE P-05,1210,1100,534,553,1,2008,270271210,
MAPLE GROVE P-06,1215,2047,1121,908,0,2008,270271215,
MAPLE GROVE P-07,1220,2355,1229,1098,2,2008,270271220,
MAPLE GROVE P-08,1225,1344,694,629,0,2008,270271225,
MAPLE GROVE P-09,1230,1562,840,702,1,2008,270271230,
MAPLE GROVE P-10,1235,1212,602,591,1,2008,270271235,
MAPLE GROVE P-11,1240,1333,679,627,2,2008,270271240,
MAPLE GROVE P-12,1245,1921,904,984,1,2008,270271245,
MAPLE GROVE P-13,1250,1264,679,558,1,2008,270271250,
MAPLE GROVE P-14,1255,1457,684,756,0,2008,270271255,
MAPLE GROVE P-15,1260,1622,742,846,1,2008,270271260,
MAPLE GROVE P-16,1265,1410,684,696,0,2008,270271265,
MAPLE GROVE P-17,1270,1405,705,680,0,2008,270271270,
MAPLE GROVE P-18,1275,1738,1023,695,0,2008,270271275,
MAPLE GROVE P-19,1280,1568,856,699,3,2008,270271280,
MAPLE GROVE P-20,1285,2603,1518,1049,1,2008,270271285,
MAPLE GROVE P-21,1290,2508,1285,1198,1,2008,270271290,
MAPLE GROVE P-22,1295,1397,700,668,2,2008,270271295,
MAPLE GROVE P-23,1300,1377,721,638,0,2008,270271300,
MAPLE PLAIN  P-01,1335,1018,515,481,1,2008,270271335,
MEDICINE LAKE P-01,1345,267,117,145,0,2008,270271345,
MEDINA P-1A,1350,1482,849,600,2,2008,270271350,
MEDINA P-1B,1355,1658,1079,563,0,2008,270271355,
MINNEAPOLIS W-1 P-01,1360,894,220,649,5,2008,270271360,
MINNEAPOLIS W-1 P-02,1365,2491,644,1793,9,2008,270271365,
MINNEAPOLIS W-1 P-03,1370,2135,466,1597,10,2008,270271370,
MINNEAPOLIS W-1 P-04,1375,1873,422,1406,2,2008,270271375,
MINNEAPOLIS W-1 P-05,1380,1579,349,1186,3,2008,270271380,
MINNEAPOLIS W-1 P-06,1385,2074,399,1602,2,2008,270271385,
MINNEAPOLIS W-1 P-07,1390,1239,235,960,5,2008,270271390,
MINNEAPOLIS W-1 P-08,1395,928,229,669,4,2008,270271395,
MINNEAPOLIS W-1 P-09,1400,1829,348,1416,7,2008,270271400,
MINNEAPOLIS W-1 P-10,1405,1159,200,914,6,2008,270271405,
MINNEAPOLIS W-2 P-01,1410,1632,104,1475,5,2008,270271410,
MINNEAPOLIS W-2 P-02,1415,2121,242,1824,4,2008,270271415,
MINNEAPOLIS W-2 P-03,1420,2102,387,1652,9,2008,270271420,
MINNEAPOLIS W-2 P-04,1425,1252,305,908,3,2008,270271425,
MINNEAPOLIS W-2 P-05,1430,2100,326,1723,0,2008,270271430,
MINNEAPOLIS W-2 P-06,1435,1065,149,874,8,2008,270271435,
MINNEAPOLIS W-2 P-07,1440,1507,191,1258,8,2008,270271440,
MINNEAPOLIS W-2 P-08,1445,694,113,567,1,2008,270271445,
MINNEAPOLIS W-2 P-09,1450,1244,157,1049,3,2008,270271450,
MINNEAPOLIS W-2 P-10,1455,1068,122,938,2,2008,270271455,
MINNEAPOLIS W-2 P-11,1456,2275,644,1582,3,2008,270271456,
MINNEAPOLIS W-3 P-01,1460,2028,524,1452,3,2008,270271460,
MINNEAPOLIS W-3 P-02,1465,1707,239,1406,8,2008,270271465,
MINNEAPOLIS W-3 P-03,1470,2607,427,2106,8,2008,270271470,
MINNEAPOLIS W-3 P-04,1475,1788,299,1426,9,2008,270271475,
MINNEAPOLIS W-3 P-05,1480,1037,218,786,6,2008,270271480,
MINNEAPOLIS W-3 P-06,1485,2252,332,1829,14,2008,270271485,
MINNEAPOLIS W-3 P-07,1490,1198,180,999,1,2008,270271490,
MINNEAPOLIS W-3 P-08,1495,851,98,737,2,2008,270271495,
MINNEAPOLIS W-3 P-09,1500,692,64,613,2,2008,270271500,
MINNEAPOLIS W-4 P-01,1505,1517,330,1149,2,2008,270271505,
MINNEAPOLIS W-4 P-02,1510,1092,262,801,3,2008,270271510,
MINNEAPOLIS W-4 P-03,1515,1101,219,856,3,2008,270271515,
MINNEAPOLIS W-4 P-04,1520,1668,409,1209,10,2008,270271520,
MINNEAPOLIS W-4 P-05,1525,939,190,734,1,2008,270271525,
MINNEAPOLIS W-4 P-06,1530,1714,235,1444,2,2008,270271530,
MINNEAPOLIS W-4 P-07,1535,1323,284,1007,3,2008,270271535,
MINNEAPOLIS W-4 P-08,1540,1767,240,1501,1,2008,270271540,
MINNEAPOLIS W-4 P-09,1545,1620,172,1421,6,2008,270271545,
MINNEAPOLIS W-4 P-10,1550,924,109,798,1,2008,270271550,
MINNEAPOLIS W-5 P-01,1555,1859,150,1688,4,2008,270271555,
MINNEAPOLIS W-5 P-02,1560,839,95,729,1,2008,270271560,
MINNEAPOLIS W-5 P-03,1565,1326,63,1250,3,2008,270271565,
MINNEAPOLIS W-5 P-04,1570,1194,58,1122,1,2008,270271570,
MINNEAPOLIS W-5 P-05,1575,1171,69,1082,3,2008,270271575,
MINNEAPOLIS W-5 P-06,1580,1695,141,1515,4,2008,270271580,
MINNEAPOLIS W-5 P-07,1585,1101,37,1052,1,2008,270271585,
MINNEAPOLIS W-5 P-08,1590,614,45,555,2,2008,270271590,
MINNEAPOLIS W-5 P-09,1595,459,108,341,0,2008,270271595,
MINNEAPOLIS W-5 P-10,1600,686,86,585,4,2008,270271600,
MINNEAPOLIS W-6 P-01,1605,580,73,490,3,2008,270271605,
MINNEAPOLIS W-6 P-02,1610,2995,208,2693,12,2008,270271610,
MINNEAPOLIS W-6 P-03,1615,2269,216,1988,11,2008,270271615,
MINNEAPOLIS W-6 P-04,1620,2791,243,2475,9,2008,270271620,
MINNEAPOLIS W-6 P-05,1625,913,136,749,4,2008,270271625,
MINNEAPOLIS W-6 P-06,1630,816,89,708,5,2008,270271630,
MINNEAPOLIS W-6 P-07,1635,479,52,417,2,2008,270271635,
MINNEAPOLIS W-6 P-08,1640,980,120,832,4,2008,270271640,
MINNEAPOLIS W-7 P-01,1645,1848,281,1536,2,2008,270271645,
MINNEAPOLIS W-7 P-02,1650,1454,221,1218,1,2008,270271650,
MINNEAPOLIS W-7 P-03,1655,2327,325,1967,4,2008,270271655,
MINNEAPOLIS W-7 P-04,1660,1508,286,1208,1,2008,270271660,
MINNEAPOLIS W-7 P-05,1665,2085,261,1770,3,2008,270271665,
MINNEAPOLIS W-7 P-06,1670,2154,482,1623,6,2008,270271670,
MINNEAPOLIS W-7 P-07,1675,1856,432,1396,0,2008,270271675,
MINNEAPOLIS W-7 P-08,1680,3099,685,2343,6,2008,270271680,
MINNEAPOLIS W-7 P-09,1685,1352,261,1064,1,2008,270271685,
MINNEAPOLIS W-7 P-10,1690,2468,874,1500,7,2008,270271690,
MINNEAPOLIS W-7 P-11,1695,1111,260,829,1,2008,270271695,
MINNEAPOLIS W-8 P-01,1700,961,66,873,0,2008,270271700,
MINNEAPOLIS W-8 P-02,1705,1493,119,1322,13,2008,270271705,
MINNEAPOLIS W-8 P-03,1710,928,62,850,1,2008,270271710,
MINNEAPOLIS W-8 P-04,1715,894,74,800,3,2008,270271715,
MINNEAPOLIS W-8 P-05,1720,1868,147,1685,4,2008,270271720,
MINNEAPOLIS W-8 P-06,1725,2037,211,1780,5,2008,270271725,
MINNEAPOLIS W-8 P-07,1730,1349,134,1185,4,2008,270271730,
MINNEAPOLIS W-8 P-08,1735,1681,183,1470,6,2008,270271735,
MINNEAPOLIS W-8 P-09,1740,1323,224,1066,1,2008,270271740,
MINNEAPOLIS W-8 P-10,1745,2215,258,1927,8,2008,270271745,
MINNEAPOLIS W-9 P-01,1750,1184,192,963,2,2008,270271750,
MINNEAPOLIS W-9 P-02,1755,1712,237,1433,11,2008,270271755,
MINNEAPOLIS W-9 P-03,1760,646,52,583,2,2008,270271760,
MINNEAPOLIS W-9 P-04,1765,875,74,774,6,2008,270271765,
MINNEAPOLIS W-9 P-05,1770,1212,116,1077,4,2008,270271770,
MINNEAPOLIS W-9 P-06,1775,1389,215,1139,11,2008,270271775,
MINNEAPOLIS W-9 P-07,1780,860,91,739,7,2008,270271780,
MINNEAPOLIS W-9 P-08,1785,1888,302,1549,11,2008,270271785,
MINNEAPOLIS W-9 P-09,1790,1414,224,1149,4,2008,270271790,
MINNEAPOLIS W-9 P-10,1795,853,140,691,5,2008,270271795,
MINNEAPOLIS W-9 P-11,1800,198,7,188,0,2008,270271800,
MINNEAPOLIS W-10 P-01,1805,2043,179,1804,9,2008,270271805,
MINNEAPOLIS W-10 P-02,1810,2076,272,1742,8,2008,270271810,
MINNEAPOLIS W-10 P-03,1815,1708,286,1389,4,2008,270271815,
MINNEAPOLIS W-10 P-04,1820,1192,155,1005,6,2008,270271820,
MINNEAPOLIS W-10 P-05,1825,917,91,804,2,2008,270271825,
MINNEAPOLIS W-10 P-06,1830,2103,244,1807,4,2008,270271830,
MINNEAPOLIS W-10 P-07,1835,1678,207,1418,4,2008,270271835,
MINNEAPOLIS W-10 P-08,1840,1499,213,1245,2,2008,270271840,
MINNEAPOLIS W-10 P-09,1845,1465,143,1277,9,2008,270271845,
MINNEAPOLIS W-10 P-10,1850,1799,246,1522,6,2008,270271850,
MINNEAPOLIS W-10 P-11,1855,1246,262,960,3,2008,270271855,
MINNEAPOLIS W-11 P-01,1860,2423,343,2021,8,2008,270271860,
MINNEAPOLIS W-11 P-02,1865,2014,397,1595,0,2008,270271865,
MINNEAPOLIS W-11 P-03,1870,1138,227,879,5,2008,270271870,
MINNEAPOLIS W-11 P-04,1875,1606,334,1230,1,2008,270271875,
MINNEAPOLIS W-11 P-05,1880,2088,433,1625,2,2008,270271880,
MINNEAPOLIS W-11 P-06,1885,2191,544,1600,3,2008,270271885,
MINNEAPOLIS W-11 P-07,1890,1995,368,1597,2,2008,270271890,
MINNEAPOLIS W-11 P-08,1895,2851,673,2132,4,2008,270271895,
MINNEAPOLIS W-11 P-09,1900,2245,575,1623,2,2008,270271900,
MINNEAPOLIS W-12 P-01,1905,2336,376,1903,9,2008,270271905,
MINNEAPOLIS W-12 P-02,1910,2240,379,1813,5,2008,270271910,
MINNEAPOLIS W-12 P-03,1915,1985,393,1553,5,2008,270271915,
MINNEAPOLIS W-12 P-04,1920,1146,201,911,2,2008,270271920,
MINNEAPOLIS W-12 P-05,1925,2195,468,1659,7,2008,270271925,
MINNEAPOLIS W-12 P-06,1930,1420,328,1068,5,2008,270271930,
MINNEAPOLIS W-12 P-07,1935,292,85,194,2,2008,270271935,
MINNEAPOLIS W-12 P-08,1940,2922,574,2284,5,2008,270271940,
MINNEAPOLIS W-12 P-09,1945,1615,349,1214,8,2008,270271945,
MINNEAPOLIS W-12 P-10,1950,1415,384,995,2,2008,270271950,
MINNEAPOLIS W-12 P-11,1955,1579,283,1265,3,2008,270271955,
MINNEAPOLIS W-13 P-01,1960,1921,447,1449,1,2008,270271960,
MINNEAPOLIS W-13 P-02,1965,2279,363,1877,6,2008,270271965,
MINNEAPOLIS W-13 P-03,1970,2065,364,1664,4,2008,270271970,
MINNEAPOLIS W-13 P-04,1975,2557,458,2066,3,2008,270271975,
MINNEAPOLIS W-13 P-05,1980,3011,636,2333,6,2008,270271980,
MINNEAPOLIS W-13 P-06,1985,2456,402,2023,3,2008,270271985,
MINNEAPOLIS W-13 P-07,1990,1015,172,826,4,2008,270271990,
MINNEAPOLIS W-13 P-08,1995,1864,452,1381,3,2008,270271995,
MINNEAPOLIS W-13 P-09,2000,2329,589,1709,3,2008,270272000,
MINNEAPOLIS W-13 P-10,2005,1986,495,1458,2,2008,270272005,
MINNETONKA W-1 P-A,2090,1528,606,886,2,2008,270272090,
MINNETONKA W-1 P-B,2095,1938,804,1103,2,2008,270272095,
MINNETONKA W-1 P-C,2100,1694,631,1032,0,2008,270272100,
MINNETONKA W-1 P-D,2105,784,313,457,0,2008,270272105,
MINNETONKA W-1 P-E,2110,800,332,450,1,2008,270272110,
MINNETONKA W-1 P-F,2115,1339,507,807,2,2008,270272115,
MINNETONKA W-2 P-A,2120,1682,718,946,1,2008,270272120,
MINNETONKA W-2 P-B,2125,1560,533,1011,1,2008,270272125,
MINNETONKA W-2 P-C,2130,1903,745,1124,2,2008,270272130,
MINNETONKA W-2 P-D,2135,1902,629,1238,2,2008,270272135,
MINNETONKA W-2 P-E,2140,1255,374,851,4,2008,270272140,
MINNETONKA W-3 P-A,2145,1126,432,681,0,2008,270272145,
MINNETONKA W-3 P-B,2150,1136,545,577,1,2008,270272150,
MINNETONKA W-3 P-C,2155,1584,742,821,1,2008,270272155,
MINNETONKA W-3 P-D,2160,588,281,289,2,2008,270272160,
MINNETONKA W-3 P-E,2165,1023,390,619,1,2008,270272165,
MINNETONKA W-3 P-F,2170,1742,827,890,2,2008,270272170,
MINNETONKA W-3 P-G,2175,246,118,122,0,2008,270272175,
MINNETONKA W-3 P-H,2180,1297,607,679,0,2008,270272180,
MINNETONKA W-4 P-A,2185,173,85,87,0,2008,270272185,
MINNETONKA W-4 P-B,2190,794,372,410,2,2008,270272190,
MINNETONKA W-4 P-C,2195,1310,608,670,1,2008,270272195,
MINNETONKA W-4 P-D,2200,1288,572,692,0,2008,270272200,
MINNETONKA W-4 P-E,2205,1890,857,990,2,2008,270272205,
MINNETONKA W-4 P-F,2210,1495,592,874,3,2008,270272210,
MINNETONKA W-4 P-G,2215,1357,557,781,6,2008,270272215,
MINNETONKA W-4 P-H,2220,127,37,84,0,2008,270272220,
MINNETONKA BEACH P-01,2230,389,221,164,0,2008,270272230,
MINNETRISTA P-01,2240,1638,934,666,3,2008,270272240,
MINNETRISTA P-02,2245,2068,1271,761,2,2008,270272245,
MOUND P-1,2250,567,284,274,1,2008,270272250,
MOUND P-2,2255,1379,695,647,2,2008,270272255,
MOUND P-3,2260,1807,897,853,6,2008,270272260,
MOUND P-5,2270,1054,511,518,1,2008,270272270,
MOUND P-6,2275,933,427,485,1,2008,270272275,
NEW HOPE P-01,2290,1483,603,844,2,2008,270272290,
NEW HOPE P-02,2295,1224,473,731,2,2008,270272295,
NEW HOPE P-03N,2300,988,466,506,1,2008,270272300,
NEW HOPE P-03S,2305,1106,444,647,0,2008,270272305,
NEW HOPE P-04,2310,1689,693,960,1,2008,270272310,
NEW HOPE P-05,2315,1199,446,722,2,2008,270272315,
NEW HOPE P-06,2320,811,286,507,0,2008,270272320,
NEW HOPE P-06E,2325,580,210,356,2,2008,270272325,
NEW HOPE P-07,2330,996,446,520,1,2008,270272330,
NEW HOPE P-08,2335,1445,475,945,0,2008,270272335,
NEW HOPE P-11,2336,2,0,2,0,2008,270272336,
ORONO P-01,2355,1512,834,656,1,2008,270272355,
ORONO P-02,2360,898,503,377,1,2008,270272360,
ORONO P-03,2365,928,520,391,0,2008,270272365,
ORONO P-04,2370,1602,931,649,0,2008,270272370,
OSSEO P-01,2385,1436,692,702,2,2008,270272385,
PLYMOUTH W-1 P-01,2400,780,363,406,2,2008,270272400,
PLYMOUTH W-1 P-02,2405,2287,1085,1162,1,2008,270272405,
PLYMOUTH W-1 P-03,2410,1378,755,612,0,2008,270272410,
PLYMOUTH W-1 P-04,2415,2475,1228,1212,2,2008,270272415,
PLYMOUTH W-1 P-05,2420,1142,600,524,1,2008,270272420,
PLYMOUTH W-1 P-06,2425,1334,571,725,3,2008,270272425,
PLYMOUTH W-1 P-07,2430,1409,692,696,1,2008,270272430,
PLYMOUTH W-1 P-08,2435,1793,851,914,2,2008,270272435,
PLYMOUTH W-2 P-09,2440,1812,887,894,3,2008,270272440,
PLYMOUTH W-2 P-10,2445,1871,962,882,1,2008,270272445,
PLYMOUTH W-2 P-11,2450,2002,803,1170,0,2008,270272450,
PLYMOUTH W-2 P-12,2455,1286,641,628,1,2008,270272455,
PLYMOUTH W-2 P-13,2460,1464,700,740,3,2008,270272460,
PLYMOUTH W-2 P-14,2465,1397,696,680,1,2008,270272465,
PLYMOUTH W-3 P-15,2470,3375,1477,1826,3,2008,270272470,
PLYMOUTH W-3 P-16,2475,1673,704,948,0,2008,270272475,
PLYMOUTH W-3 P-17,2480,1407,598,778,2,2008,270272480,
PLYMOUTH W-3 P-18,2485,2424,1110,1277,6,2008,270272485,
PLYMOUTH W-3 P-19,2490,1173,409,732,1,2008,270272490,
PLYMOUTH W-4 P-20,2495,1707,861,814,3,2008,270272495,
PLYMOUTH W-4 P-21,2500,1768,827,917,0,2008,270272500,
PLYMOUTH W-4 P-22,2505,1532,794,716,1,2008,270272505,
PLYMOUTH W-4 P-23,2510,1768,809,930,1,2008,270272510,
PLYMOUTH W-4 P-24,2515,2090,834,1223,2,2008,270272515,
PLYMOUTH W-4 P-25,2520,1873,767,1060,3,2008,270272520,
RICHFIELD W-1 P-03,2575,2487,852,1579,1,2008,270272575,
RICHFIELD W-1 P-04,2580,1956,648,1260,3,2008,270272580,
RICHFIELD W-1 P-05,2585,1586,525,1030,1,2008,270272585,
RICHFIELD W-2 P-02,2590,3069,1035,1974,2,2008,270272590,
RICHFIELD W-2 P-06,2595,3270,1130,2079,3,2008,270272595,
RICHFIELD W-2 P-07,2600,1116,387,709,2,2008,270272600,
RICHFIELD W-3 P-01,2605,1406,474,908,1,2008,270272605,
RICHFIELD W-3 P-08,2610,2025,623,1360,5,2008,270272610,
RICHFIELD W-3 P-09,2615,1856,597,1213,2,2008,270272615,
ROBBINSDALE W-1,2645,2095,724,1322,3,2008,270272645,
ROBBINSDALE W-2,2655,2438,831,1554,4,2008,270272655,
ROBBINSDALE W-3,2665,1954,603,1293,5,2008,270272665,
ROBBINSDALE W-4,2675,1955,587,1310,2,2008,270272675,
ROCKFORD P-01,2695,207,98,103,0,2008,270272695,
ROGERS P-01,2710,1585,868,694,1,2008,270272710,
ROGERS P-02,2715,2658,1603,1001,3,2008,270272715,
SHOREWOOD P-1,2720,137,79,57,0,2008,270272720,
SHOREWOOD P-2,2725,1073,607,454,2,2008,270272725,
SHOREWOOD P-3,2730,1316,604,688,4,2008,270272730,
SHOREWOOD P-4,2735,1248,673,554,2,2008,270272735,
SHOREWOOD P-5,2740,1185,602,561,1,2008,270272740,
SPRING PARK P-01,2755,939,476,431,0,2008,270272755,
ST ANTHONY P-01,2765,1431,556,841,4,2008,270272765,
ST ANTHONY P-02,2770,2262,932,1290,7,2008,270272770,
ST BONIFACIUS P-01,2780,1361,770,556,1,2008,270272780,
ST LOUIS PARK W-1 P-01,2790,2473,686,1749,3,2008,270272790,
ST LOUIS PARK W-1 P-02,2795,1512,522,945,4,2008,270272795,
ST LOUIS PARK W-1 P-03,2800,1409,369,1014,3,2008,270272800,
ST LOUIS PARK W-1 P-04,2805,999,298,680,2,2008,270272805,
ST LOUIS PARK W-1 P-05,2810,1102,315,768,0,2008,270272810,
ST LOUIS PARK W-2 P-06,2815,909,256,634,1,2008,270272815,
ST LOUIS PARK W-2 P-07,2820,2729,790,1889,5,2008,270272820,
ST LOUIS PARK W-2 P-08,2825,1556,468,1055,1,2008,270272825,
ST LOUIS PARK W-2 P-09,2830,2459,722,1684,7,2008,270272830,
ST LOUIS PARK W-3 P-10,2835,2178,619,1506,3,2008,270272835,
ST LOUIS PARK W-3 P-11,2840,1387,434,926,2,2008,270272840,
ST LOUIS PARK W-3 P-12,2845,1612,478,1101,5,2008,270272845,
ST LOUIS PARK W-3 P-13,2850,2081,647,1379,5,2008,270272850,
ST LOUIS PARK W-4 P-14,2855,1630,501,1102,1,2008,270272855,
ST LOUIS PARK W-4 P-15,2860,1407,382,994,1,2008,270272860,
ST LOUIS PARK W-4 P-16,2865,2027,563,1427,2,2008,270272865,
ST LOUIS PARK W-4 P-17,2870,1539,463,1036,7,2008,270272870,
TONKA BAY P-01,2900,1026,552,458,0,2008,270272900,
WAYZATA P-01,2910,2511,1286,1183,4,2008,270272910,
WOODLAND P-01,2925,346,185,157,1,2008,270272925,
BLACK HAMMER TWP.,5,176,76,95,0,2008,270280005,
BROWNSVILLE,10,298,105,178,0,2008,270280010,
BROWNSVILLE TWP.,15,239,95,139,0,2008,270280015,
CALEDONIA P-1,20,635,257,359,0,2008,270280020,
CALEDONIA P-2,25,861,345,491,1,2008,270280025,
CALEDONIA TWP.,30,355,160,181,2,2008,270280030,
CROOKED CREEK TWP.,35,172,83,85,0,2008,270280035,
EITZEN,40,136,69,65,1,2008,270280040,
HOKAH,45,306,115,184,1,2008,270280045,
HOKAH TWP.,50,315,134,171,2,2008,270280050,
HOUSTON,55,535,245,272,0,2008,270280055,
HOUSTON TWP.,60,244,130,107,0,2008,270280060,
JEFFERSON TWP.,65,63,28,33,0,2008,270280065,
LA CRESCENT P-1,70,1445,713,705,3,2008,270280070,
LA CRESCENT P-2,75,1052,354,670,1,2008,270280075,
LA CRESCENT P-3,76,430,163,259,0,2008,270280076,
LA CRESCENT TWP.,80,907,453,438,0,2008,270280080,
MAYVILLE TWP.,85,213,95,112,1,2008,270280085,
MONEY CREEK TWP.,90,309,159,142,1,2008,270280090,
MOUND PRAIRIE TWP.,95,359,152,193,0,2008,270280095,
SHELDON TWP.,100,154,68,82,1,2008,270280100,
SPRING GROVE,105,689,224,442,1,2008,270280105,
SPRING GROVE TWP.,110,245,124,115,1,2008,270280110,
UNION TWP.,115,206,117,84,1,2008,270280115,
WILMINGTON TWP.,120,258,114,130,2,2008,270280120,
WINNEBAGO TWP.,125,144,71,66,0,2008,270280125,
YUCATAN TWP.,130,207,94,108,3,2008,270280130,
AKELEY,5,209,95,108,0,2008,270290005,
AKELEY TWP.,10,325,177,141,1,2008,270290010,
ARAGO TWP.,15,392,229,156,0,2008,270290015,
BADOURA TWP.,20,73,33,36,2,2008,270290020,
CLAY TWP.,22,61,38,22,0,2008,270290022,
CLOVER TWP.,25,103,62,39,0,2008,270290025,
CROW WING LAKE TWP.,30,220,121,92,0,2008,270290030,
FARDEN TWP.,35,573,298,257,5,2008,270290035,
FERN TWP.,40,138,70,59,1,2008,270290040,
GUTHRIE TWP.,45,307,192,110,0,2008,270290045,
HART LAKE TWP.,50,268,143,121,0,2008,270290050,
HELGA TWP.,55,836,464,363,0,2008,270290055,
HENDRICKSON TWP.,60,159,96,56,0,2008,270290060,
HENRIETTA TWP.,65,981,599,362,2,2008,270290065,
HUBBARD TWP.,70,463,281,175,0,2008,270290070,
LAKE ALICE TWP.,75,49,23,25,0,2008,270290075,
LAKE EMMA TWP.,80,727,411,307,0,2008,270290080,
LAKE GEORGE TWP.,85,244,140,100,1,2008,270290085,
LAKE HATTIE TWP.,90,109,74,29,0,2008,270290090,
LAKEPORT  TWP.,95,512,231,266,2,2008,270290095,
LA PORTE,100,74,40,31,2,2008,270290100,
MANTRAP TWP.,105,328,165,158,0,2008,270290105,
NEVIS,110,210,109,91,2,2008,270290110,
NEVIS TWP.,115,664,379,266,0,2008,270290115,
PARK RAPIDS P-1,120,782,428,333,0,2008,270290120,
PARK RAPIDS P-2,122,944,513,412,2,2008,270290122,
ROCKWOOD TWP.,125,290,183,98,0,2008,270290125,
SCHOOLCRAFT TWP.,130,75,46,27,1,2008,270290130,
STEAMBOAT RIVER TWP.,135,88,41,47,0,2008,270290135,
STRAIGHT RIVER TWP.,140,390,229,150,0,2008,270290140,
THORPE TWP.,145,38,19,17,1,2008,270290145,
TODD TWP. P-1,150,764,482,262,1,2008,270290150,
TODD TWP. P-2,152,43,26,16,0,2008,270290152,
WHITE OAK TWP.,155,267,121,140,1,2008,270290155,
ATHENS TWP,5,1247,711,490,1,2008,270300005,
BRADFORD TWP,10,1908,1077,774,1,2008,270300010,
BRAHAM CITY,15,846,462,360,5,2008,270300015,
CAMBRIDGE WEST - P1,20,2317,1211,1036,5,2008,270300020,
CAMBRIDGE EAST - P2,22,1543,778,717,4,2008,270300022,
CAMBRIDGE TWP,25,1443,777,641,1,2008,270300025,
DALBO TWP,30,409,281,117,0,2008,270300030,
ISANTI CITY,35,2193,1157,978,2,2008,270300035,
ISANTI TWP,40,1324,781,501,1,2008,270300040,
MAPLE RIDGE TWP,45,449,252,182,1,2008,270300045,
NORTH BRANCH TWP,50,1013,544,438,3,2008,270300050,
OXFORD TWP,55,529,335,181,1,2008,270300055,
SAINT FRANCIS P-3,57,0,0,0,0,2008,270300057,
SPENCER BROOK TWP,60,916,581,309,2,2008,270300060,
SPRINGVALE TWP,65,871,511,344,0,2008,270300065,
STANCHFIELD TWP,70,707,408,280,1,2008,270300070,
STANFORD TWP,75,1325,854,442,1,2008,270300075,
WYANETT TWP,80,1082,604,458,3,2008,270300080,
ALVWOOD TWP,5,22,14,7,0,2008,270310005,
ARBO TWP,10,496,221,265,0,2008,270310010,
ARDENHURST TWP,15,101,58,40,0,2008,270310015,
BALL CLUB PREC,20,190,57,128,1,2008,270310020,
BALSAM TWP,25,355,161,185,0,2008,270310025,
COHASSET,30,1586,836,704,3,2008,270310030,
BASS LAKE PREC,35,711,338,338,2,2008,270310035,
BEARVILLE TWP,40,119,32,81,1,2008,270310040,
BIGFORK,45,194,74,113,0,2008,270310045,
BIGFORK TWP,50,152,82,62,0,2008,270310050,
BLACKBERRY TWP,55,489,242,231,1,2008,270310055,
BOVEY,60,391,92,287,0,2008,270310060,
BOWSTRING TWP,65,139,53,77,1,2008,270310065,
NORTH UNORGANIZED PREC,70,308,138,158,1,2008,270310070,
CALUMET,74,180,41,134,0,2008,270310074,
CARPENTER TWP,76,118,48,65,0,2008,270310076,
COLERAINE,85,675,220,439,1,2008,270310085,
DEER LAKE PREC,90,423,220,191,1,2008,270310090,
DEER RIVER,95,417,180,225,0,2008,270310095,
DEER RIVER TWP,100,365,186,173,0,2008,270310100,
EFFIE,110,52,19,27,0,2008,270310110,
FEELEY TWP,120,197,84,106,0,2008,270310120,
GOOD HOPE TWP,125,55,33,22,0,2008,270310125,
GOODLAND TWP,130,328,149,168,1,2008,270310130,
GRAN PREC,135,197,58,126,0,2008,270310135,
GRAND RAPIDS P-1,140,916,386,508,0,2008,270310140,
GRAND RAPIDS P-2,145,417,177,220,2,2008,270310145,
