Room,WeekDay,Time,Course,Section,Instructor,Dates
GI326,Wednesday,0800 - 0950,MATH447 - Abstract Algebra I,1,Leonhardi,01/13/2020 - 05/01/2020
GI326,Wednesday,0800 - 1000,MATH347 - Number Theory,1,FINAL EXAM,05/06/2020 - 05/06/2020
GI326,Wednesday,1000 - 1050,MATH347 - Number Theory,1,Errthum,01/13/2020 - 05/01/2020
GI326,Wednesday,1030 - 1230,STAT460 - Introduction to Mathematical Statistics II,1,FINAL EXAM,05/06/2020 - 05/06/2020
GI326,Wednesday,1200 - 1250,MATH495 - Communication of Independent Project Outcomes,1,,01/13/2020 - 05/01/2020
GI326,Wednesday,1300 - 1350,JPN102 - Beginning Japanese II,1,Nagai,01/13/2020 - 05/01/2020
GI326,Wednesday,1300 - 1500,STAT365 - Experimental Design and Analysis,1,FINAL EXAM,05/06/2020 - 05/06/2020
GI326,Wednesday,1400 - 1450,STAT460 - Introduction to Mathematical Statistics II,1,Deppa,01/13/2020 - 05/01/2020
GI326,Wednesday,1530 - 1730,MATH395 -  Professional Skill Development for Mathematics,1,FINAL EXAM,05/06/2020 - 05/06/2020
GI326,Wednesday,1530 - 1730,STAT395 - Professional Skill Development for Statistics,1,FINAL EXAM,05/06/2020 - 05/06/2020
GI326,Thursday,0800 - 0850,DSCI495 - Communication of Capstone Outcomes,1,Hooks,01/13/2020 - 05/01/2020
GI326,Thursday,0800 - 0850,STAT395 - Professional Skill Development for Statistics,1,Malone,01/13/2020 - 05/01/2020
GI326,Thursday,0800 - 0850,STAT495 - Communication of Capstone Outcomes,1,Malone,01/13/2020 - 05/01/2020
GI326,Thursday,0800 - 0850,MATH395 -  Professional Skill Development for Mathematics,1,Wangberg,01/13/2020 - 05/01/2020
GI326,Thursday,0800 - 0850,MATH495 - Communication of Independent Project Outcomes,1,Wangberg,01/13/2020 - 05/01/2020
GI326,Thursday,0930 - 1050,STAT365 - Experimental Design and Analysis,1,Johnson,01/13/2020 - 05/01/2020
GI326,Thursday,1100 - 1220,STAT305 - Biometry,1,Kerby,01/13/2020 - 05/01/2020
GI326,Thursday,1300 - 1350,JPN102 - Beginning Japanese II,1,Nagai,01/13/2020 - 05/01/2020
GI326,Thursday,1300 - 1500,STAT305 - Biometry,1,FINAL EXAM,05/07/2020 - 05/07/2020
GI326,Friday,0900 - 0950,MATH447 - Abstract Algebra I,1,Leonhardi,01/13/2020 - 05/01/2020
GI326,Friday,1000 - 1050,MATH347 - Number Theory,1,Errthum,01/13/2020 - 05/01/2020
GI326,Friday,1400 - 1450,STAT460 - Introduction to Mathematical Statistics II,1,Deppa,01/13/2020 - 05/01/2020
GI327,Monday,0800 - 0850,MATH203 - Number and Number Systems,4,Florin,01/13/2020 - 05/01/2020
GI327,Monday,0800 - 1000,MATH203 - Number and Number Systems,4,FINAL EXAM,05/04/2020 - 05/04/2020
GI327,Monday,0900 - 0950,MATH203 - Number and Number Systems,3,Tsegai,01/13/2020 - 05/01/2020
GI327,Monday,1000 - 1050,MATH203 - Number and Number Systems,2,Florin,01/13/2020 - 05/01/2020
GI327,Monday,1100 - 1150,MATH203 - Number and Number Systems,1,Gilbertson,01/13/2020 - 05/01/2020
GI327,Monday,1230 - 1350,MATH202 - Elements of Mathematics,1,Zhang,01/13/2020 - 04/17/2020
GI327,Tuesday,0800 - 0920,MATH204 - Technology-Based Geometry,2,Florin,01/13/2020 - 05/01/2020
GI327,Tuesday,0800 - 1000,MATH203 - Number and Number Systems,3,FINAL EXAM,05/05/2020 - 05/05/2020
GI327,Tuesday,0930 - 1050,MATH204 - Technology-Based Geometry,1,Florin,01/13/2020 - 05/01/2020
GI327,Tuesday,1100 - 1220,MATH303 - Numerical Reasoning for Middle School Teachers,1,Williams,01/13/2020 - 05/01/2020
GI327,Tuesday,1300 - 1500,STAT321 - Industrial Design of Experiments I,1,FINAL EXAM,05/05/2020 - 05/05/2020
GI327,Tuesday,1400 - 1520,STAT321 - Industrial Design of Experiments I,1,Iverson,01/13/2020 - 05/01/2020
GI327,Wednesday,0800 - 1000,MATH203 - Number and Number Systems,2,FINAL EXAM,05/06/2020 - 05/06/2020
GI327,Wednesday,0800 - 0850,MATH203 - Number and Number Systems,4,Florin,01/13/2020 - 05/01/2020
GI327,Wednesday,0900 - 0950,MATH203 - Number and Number Systems,3,Tsegai,01/13/2020 - 05/01/2020
GI327,Wednesday,1000 - 1050,MATH203 - Number and Number Systems,2,Florin,01/13/2020 - 05/01/2020
GI327,Wednesday,1100 - 1150,MATH203 - Number and Number Systems,1,Gilbertson,01/13/2020 - 05/01/2020
GI327,Wednesday,1230 - 1350,MATH202 - Elements of Mathematics,1,Zhang,01/13/2020 - 04/17/2020
GI327,Wednesday,1300 - 1500,MATH204 - Technology-Based Geometry,1,FINAL EXAM,05/06/2020 - 05/06/2020
GI327,Wednesday,1530 - 1830,MATH204 - Technology-Based Geometry,2,FINAL EXAM,05/06/2020 - 05/06/2020
GI327,Thursday,0800 - 1000,MATH203 - Number and Number Systems,1,FINAL EXAM,05/07/2020 - 05/07/2020
GI327,Thursday,0800 - 0920,MATH204 - Technology-Based Geometry,2,Florin,01/13/2020 - 05/01/2020
GI327,Thursday,0930 - 1050,MATH204 - Technology-Based Geometry,1,Florin,01/13/2020 - 05/01/2020
GI327,Thursday,1100 - 1220,MATH303 - Numerical Reasoning for Middle School Teachers,1,Williams,01/13/2020 - 05/01/2020
GI327,Thursday,1300 - 1500,MATH303 - Numerical Reasoning for Middle School Teachers,1,FINAL EXAM,05/07/2020 - 05/07/2020
GI327,Thursday,1400 - 1520,STAT321 - Industrial Design of Experiments I,1,Iverson,01/13/2020 - 05/01/2020
GI327,Friday,0800 - 0850,MATH203 - Number and Number Systems,4,Florin,01/13/2020 - 05/01/2020
GI327,Friday,0900 - 0950,MATH203 - Number and Number Systems,3,Tsegai,01/13/2020 - 05/01/2020
GI327,Friday,1000 - 1050,MATH203 - Number and Number Systems,2,Florin,01/13/2020 - 05/01/2020
GI327,Friday,1100 - 1150,MATH203 - Number and Number Systems,1,Gilbertson,01/13/2020 - 05/01/2020
GI327,Friday,1230 - 1350,MATH202 - Elements of Mathematics,1,Zhang,01/13/2020 - 04/17/2020
GI329,Monday,0900 - 0950,MATH242 - Linear Algebra,1,Wangberg,01/13/2020 - 05/01/2020
GI329,Monday,1000 - 1050,MATH120 - Precalculus,1,Debnath,01/13/2020 - 05/01/2020
GI329,Monday,1100 - 1150,MATH120 - Precalculus,2,Debnath,01/13/2020 - 05/01/2020
GI329,Monday,1300 - 1350,STAT110 - Fundamentals of Statistics,9,Iverson,01/13/2020 - 05/01/2020
GI329,Monday,1300 - 1500,STAT110 - Fundamentals of Statistics,9,FINAL EXAM,05/04/2020 - 05/04/2020
GI329,Monday,1400 - 1450,MATH307 - History of Mathematics,1,Gilbertson,01/13/2020 - 05/01/2020
GI329,Tuesday,0800 - 0850,DSCI395 - Professional Skill Development for Data Sciences,1,Hooks,01/13/2020 - 05/01/2020
GI329,Tuesday,0800 - 1000,MATH242 - Linear Algebra,1,FINAL EXAM,05/05/2020 - 05/05/2020
GI329,Tuesday,0900 - 0950,MATH242 - Linear Algebra,1,Wangberg,01/13/2020 - 05/01/2020
GI329,Tuesday,1000 - 1050,MATH120 - Precalculus,1,Debnath,01/13/2020 - 05/01/2020
GI329,Tuesday,1100 - 1150,MATH120 - Precalculus,2,Debnath,01/13/2020 - 05/01/2020
GI329,Wednesday,0800 - 1000,MATH120 - Precalculus,1,FINAL EXAM,05/06/2020 - 05/06/2020
GI329,Wednesday,1030 - 1230,MATH307 - History of Mathematics,1,FINAL EXAM,05/06/2020 - 05/06/2020
GI329,Wednesday,1300 - 1350,STAT110 - Fundamentals of Statistics,9,Iverson,01/13/2020 - 05/01/2020
GI329,Wednesday,1400 - 1450,MATH307 - History of Mathematics,1,Gilbertson,01/13/2020 - 05/01/2020
GI329,Thursday,0800 - 0850,DSCI395 - Professional Skill Development for Data Sciences,1,Hooks,01/13/2020 - 05/01/2020
GI329,Thursday,0800 - 1000,MATH120 - Precalculus,2,FINAL EXAM,05/07/2020 - 05/07/2020
GI329,Thursday,0900 - 0950,MATH242 - Linear Algebra,1,Wangberg,01/13/2020 - 05/01/2020
GI329,Thursday,1000 - 1050,MATH120 - Precalculus,1,Debnath,01/13/2020 - 05/01/2020
GI329,Thursday,1100 - 1150,MATH120 - Precalculus,2,Debnath,01/13/2020 - 05/01/2020
GI329,Friday,0900 - 0950,MATH242 - Linear Algebra,1,Wangberg,01/13/2020 - 05/01/2020
GI329,Friday,1000 - 1050,MATH120 - Precalculus,1,Debnath,01/13/2020 - 05/01/2020
GI329,Friday,1100 - 1150,MATH120 - Precalculus,2,Debnath,01/13/2020 - 05/01/2020
GI329,Friday,1300 - 1350,STAT110 - Fundamentals of Statistics,9,Iverson,01/13/2020 - 05/01/2020
GI329,Friday,1400 - 1450,MATH307 - History of Mathematics,1,Gilbertson,01/13/2020 - 05/01/2020
