Room,WeekDay,Time,Course,Section,Instructor,Dates
GI156,Friday,1100 - 1150,STAT110 - Fundamentals of Statistics,11,Iverson,01/13/2020 - 05/01/2020
GI156,Friday,1300 - 1350,MATH110 - Finite Mathematics,2,"Schmidt
Windsperger",01/13/2020 - 05/01/2020
GI156,Friday,1400 - 1450,STAT110 - Fundamentals of Statistics,8,Iverson,01/13/2020 - 05/01/2020
GI161,Monday,0900 - 0950,CMST191 - Introduction to Public Speaking,1,Schilling,01/13/2020 - 05/01/2020
GI161,Monday,1000 - 1050,CMST191 - Introduction to Public Speaking,5,Schilling,01/13/2020 - 05/01/2020
GI161,Monday,1030 - 1230,CMST192 - Introduction to Speech Communication,12,FINAL EXAM,05/04/2020 - 05/04/2020
GI161,Monday,1100 - 1150,CMST191 - Introduction to Public Speaking,8,Staff,01/13/2020 - 05/01/2020
GI161,Tuesday,0800 - 1000,CMST191 - Introduction to Public Speaking,1,FINAL EXAM,05/05/2020 - 05/05/2020
GI161,Tuesday,0930 - 1050,CMST192 - Introduction to Speech Communication,9,Schilling,01/13/2020 - 05/01/2020
GI161,Tuesday,1100 - 1220,CMST191 - Introduction to Public Speaking,14,Gaffey,01/13/2020 - 05/01/2020
GI161,Tuesday,1230 - 1350,CMST192 - Introduction to Speech Communication,12,Schilling,01/13/2020 - 05/01/2020
GI161,Wednesday,0800 - 1000,CMST191 - Introduction to Public Speaking,5,FINAL EXAM,05/06/2020 - 05/06/2020
GI161,Wednesday,0900 - 0950,CMST191 - Introduction to Public Speaking,1,Schilling,01/13/2020 - 05/01/2020
GI161,Wednesday,1000 - 1050,CMST191 - Introduction to Public Speaking,5,Schilling,01/13/2020 - 05/01/2020
GI161,Wednesday,1100 - 1150,CMST191 - Introduction to Public Speaking,8,Staff,01/13/2020 - 05/01/2020
GI161,Wednesday,1300 - 1500,CMST192 - Introduction to Speech Communication,9,FINAL EXAM,05/06/2020 - 05/06/2020
GI161,Thursday,0800 - 1000,CMST191 - Introduction to Public Speaking,8,FINAL EXAM,05/07/2020 - 05/07/2020
GI161,Thursday,0930 - 1050,CMST192 - Introduction to Speech Communication,9,Schilling,01/13/2020 - 05/01/2020
GI161,Thursday,1100 - 1220,CMST191 - Introduction to Public Speaking,14,Gaffey,01/13/2020 - 05/01/2020
GI161,Thursday,1230 - 1350,CMST192 - Introduction to Speech Communication,12,Schilling,01/13/2020 - 05/01/2020
GI161,Thursday,1300 - 1500,CMST191 - Introduction to Public Speaking,14,FINAL EXAM,05/07/2020 - 05/07/2020
GI161,Friday,0900 - 0950,CMST191 - Introduction to Public Speaking,1,Schilling,01/13/2020 - 05/01/2020
GI161,Friday,1000 - 1050,CMST191 - Introduction to Public Speaking,5,Schilling,01/13/2020 - 05/01/2020
GI161,Friday,1100 - 1150,CMST191 - Introduction to Public Speaking,8,Staff,01/13/2020 - 05/01/2020
GI223,Monday,0900 - 0950,CMST192 - Introduction to Speech Communication,1,Staff,01/13/2020 - 05/01/2020
GI223,Monday,1000 - 1050,CMST192 - Introduction to Speech Communication,2,Makstenieks,01/13/2020 - 05/01/2020
GI223,Monday,1100 - 1150,CMST296 - Fundamentals of Interviewing,1,Makstenieks,01/13/2020 - 05/01/2020
GI223,Monday,1300 - 1350,MATH247 - Discrete Mathematics,1,Leonhardi,01/13/2020 - 05/01/2020
GI223,Monday,1300 - 1500,MATH247 - Discrete Mathematics,1,FINAL EXAM,05/04/2020 - 05/04/2020
GI223,Tuesday,0800 - 1000,CMST192 - Introduction to Speech Communication,1,FINAL EXAM,05/05/2020 - 05/05/2020
GI223,Tuesday,1100 - 1220,DSCI425 - Supervised Learning,1,Deppa,01/13/2020 - 05/01/2020
GI223,Tuesday,1300 - 1500,DSCI210 - Data Science,1,FINAL EXAM,05/05/2020 - 05/05/2020
GI223,Tuesday,1400 - 1520,DSCI210 - Data Science,1,Bergen,01/13/2020 - 05/01/2020
GI223,Wednesday,0800 - 1000,CMST192 - Introduction to Speech Communication,2,FINAL EXAM,05/06/2020 - 05/06/2020
GI223,Wednesday,0900 - 0950,CMST192 - Introduction to Speech Communication,1,Staff,01/13/2020 - 05/01/2020
GI223,Wednesday,1000 - 1050,CMST192 - Introduction to Speech Communication,2,Makstenieks,01/13/2020 - 05/01/2020
GI223,Wednesday,1100 - 1150,CMST296 - Fundamentals of Interviewing,1,Makstenieks,01/13/2020 - 05/01/2020
GI223,Wednesday,1300 - 1350,MATH247 - Discrete Mathematics,1,Leonhardi,01/13/2020 - 05/01/2020
GI223,Thursday,0800 - 1000,CMST296 - Fundamentals of Interviewing,1,FINAL EXAM,05/07/2020 - 05/07/2020
GI223,Thursday,1100 - 1220,DSCI425 - Supervised Learning,1,Deppa,01/13/2020 - 05/01/2020
GI223,Thursday,1300 - 1500,DSCI425 - Supervised Learning,1,FINAL EXAM,05/07/2020 - 05/07/2020
GI223,Thursday,1400 - 1520,DSCI210 - Data Science,1,Bergen,01/13/2020 - 05/01/2020
GI223,Friday,0900 - 0950,CMST192 - Introduction to Speech Communication,1,Staff,01/13/2020 - 05/01/2020
GI223,Friday,1000 - 1050,CMST192 - Introduction to Speech Communication,2,Makstenieks,01/13/2020 - 05/01/2020
GI223,Friday,1100 - 1150,CMST296 - Fundamentals of Interviewing,1,Makstenieks,01/13/2020 - 05/01/2020
GI223,Friday,1300 - 1350,MATH247 - Discrete Mathematics,1,Leonhardi,01/13/2020 - 05/01/2020
GI224,Monday,1100 - 1150,CMST451 - Topics in Communication Studies: Social Media & Culture,1,Xu,01/13/2020 - 05/01/2020
GI224,Monday,1300 - 1350,MATH337 - Probability,1,Pascual,01/13/2020 - 05/01/2020
GI224,Monday,1300 - 1500,MATH337 - Probability,1,FINAL EXAM,05/04/2020 - 05/04/2020
GI224,Tuesday,0930 - 1050,WGSS220 - Intersections of Privilege and Power,1,Berg,01/13/2020 - 05/01/2020
GI224,Tuesday,1100 - 1220,STAT360 - Regression Analysis,1,Malone,01/13/2020 - 05/01/2020
GI224,Wednesday,1100 - 1150,CMST451 - Topics in Communication Studies: Social Media & Culture,1,Xu,01/13/2020 - 05/01/2020
GI224,Wednesday,1300 - 1350,MATH337 - Probability,1,Pascual,01/13/2020 - 05/01/2020
GI224,Wednesday,1300 - 1500,WGSS220 - Intersections of Privilege and Power,1,FINAL EXAM,05/06/2020 - 05/06/2020
GI224,Thursday,0800 - 1000,CMST451 - Topics in Communication Studies: Social Media & Culture,1,FINAL EXAM,05/07/2020 - 05/07/2020
GI224,Thursday,0930 - 1050,WGSS220 - Intersections of Privilege and Power,1,Berg,01/13/2020 - 05/01/2020
GI224,Thursday,1100 - 1220,STAT360 - Regression Analysis,1,Malone,01/13/2020 - 05/01/2020
GI224,Thursday,1300 - 1500,STAT360 - Regression Analysis,1,FINAL EXAM,05/07/2020 - 05/07/2020
GI224,Friday,1100 - 1150,CMST451 - Topics in Communication Studies: Social Media & Culture,1,Xu,01/13/2020 - 05/01/2020
GI224,Friday,1300 - 1350,MATH337 - Probability,1,Pascual,01/13/2020 - 05/01/2020
GI226,Monday,0800 - 0850,MATH050 - Intermediate Algebra,1,Zhang,01/13/2020 - 05/01/2020
GI226,Monday,0800 - 1000,MATH050 - Intermediate Algebra,1,FINAL EXAM,05/04/2020 - 05/04/2020
GI226,Monday,1000 - 1050,MATH115 - College Algebra,1,Tsegai,01/13/2020 - 05/01/2020
GI226,Monday,1100 - 1150,MATH212 - Calculus I,1,Leonhardi,01/13/2020 - 05/01/2020
GI226,Monday,1300 - 1350,MATH112 - Applied Precalculus,1,Wangberg,01/13/2020 - 05/01/2020
GI226,Monday,1300 - 1500,MATH112 - Applied Precalculus,1,FINAL EXAM,05/04/2020 - 05/04/2020
GI226,Monday,1400 - 1450,MATH117 - Precalculus with Modeling,1,Windsperger,01/13/2020 - 05/01/2020
GI226,Monday,1530 - 1650,CMST192 - Introduction to Speech Communication,3,Quandt,01/13/2020 - 05/01/2020
GI226,Monday,1530 - 1730,CMST192 - Introduction to Speech Communication,3,FINAL EXAM,05/04/2020 - 05/04/2020
GI226,Tuesday,0800 - 0920,STAT110 - Fundamentals of Statistics,7,Bergen,01/13/2020 - 05/01/2020
GI226,Tuesday,0930 - 1050,STAT110 - Fundamentals of Statistics,3,Bergen,01/13/2020 - 05/01/2020
GI226,Tuesday,1100 - 1150,MATH212 - Calculus I,1,Leonhardi,01/13/2020 - 05/01/2020
GI226,Tuesday,1400 - 1450,MATH117 - Precalculus with Modeling,1,Windsperger,01/13/2020 - 05/01/2020
GI226,Wednesday,0800 - 0850,MATH050 - Intermediate Algebra,1,Zhang,01/13/2020 - 05/01/2020
GI226,Wednesday,0800 - 1000,MATH115 - College Algebra,1,FINAL EXAM,05/06/2020 - 05/06/2020
GI226,Wednesday,1000 - 1050,MATH115 - College Algebra,1,Tsegai,01/13/2020 - 05/01/2020
GI226,Wednesday,1030 - 1230,MATH117 - Precalculus with Modeling,1,FINAL EXAM,05/06/2020 - 05/06/2020
GI226,Wednesday,1300 - 1350,MATH112 - Applied Precalculus,1,Wangberg,01/13/2020 - 05/01/2020
